network_1,network_2,raw_mean_r,raw_ci_low_r,raw_ci_high_r,raw_p_uncorrected,raw_p_fdr,raw_significant_fdr,corrected_mean_r,corrected_ci_low_r,corrected_ci_high_r,corrected_p_uncorrected,corrected_p_fdr,corrected_significant_fdr,delta_mean_z,delta_ci_low_z,delta_ci_high_z,paired_effect_size_dz,proportion_improved,delta_p_uncorrected,delta_p_fdr,delta_significant_fdr
Cont,Cont,0.13864553,0.094636336,0.18328357,9.999000099990002e-05,0.00019998000199980003,True,0.16746914,0.11632517,0.21907589,9.999000099990002e-05,0.00019998000199980003,True,0.029517325,0.019363219,0.040147383,0.8167829,0.782608695652174,9.999000099990002e-05,0.00031108000311080007,True
Cont,Default,0.13565308,0.09450912,0.17584993,9.999000099990002e-05,0.00019998000199980003,True,0.15959461,0.11250057,0.20609385,9.999000099990002e-05,0.00019998000199980003,True,0.024476204,0.015414299,0.033761837,0.7623434,0.782608695652174,9.999000099990002e-05,0.00031108000311080007,True
Cont,DorsAttn,0.08829188,0.045513753,0.13336559,0.00019998000199980003,0.00037329600373296,True,0.11259374,0.06042083,0.16515659,9.999000099990002e-05,0.00019998000199980003,True,0.024550797,0.014363524,0.03517625,0.6823883,0.7391304347826086,9.999000099990002e-05,0.00031108000311080007,True
Cont,Limbic,0.09760219,0.059811857,0.13527775,9.999000099990002e-05,0.00019998000199980003,True,0.10822177,0.063247256,0.15260144,9.999000099990002e-05,0.00019998000199980003,True,0.010733378,0.00164343,0.019366045,0.34427506,0.6739130434782609,0.010298970102989701,0.015177429625458505,True
Cont,SalVentAttn,0.062166654,0.03476257,0.08882868,9.999000099990002e-05,0.00019998000199980003,True,0.07974295,0.046757195,0.111590125,9.999000099990002e-05,0.00019998000199980003,True,0.017665697,0.008960727,0.026501091,0.58567625,0.7608695652173914,0.00029997000299970003,0.0006460892372301232,True
Cont,SomMot,-0.004249729,-0.031036114,0.021906398,0.6264373562643736,0.7016098390160984,False,0.00082646485,-0.032595586,0.033052914,0.48865113488651135,0.5472892710728927,False,0.0050762175,-0.0032149816,0.013418432,0.17472199,0.5434782608695652,0.12348765123487651,0.15033279280767575,False
Cont,Vis,0.08756159,0.05013963,0.1257425,9.999000099990002e-05,0.00019998000199980003,True,0.10744652,0.06209588,0.15216497,9.999000099990002e-05,0.00019998000199980003,True,0.02007648,0.010749177,0.029776478,0.60490805,0.6956521739130435,0.00019998000199980003,0.00046662000466620004,True
Default,Default,0.15130596,0.105138175,0.19741037,9.999000099990002e-05,0.00019998000199980003,True,0.17501925,0.122764304,0.22688407,9.999000099990002e-05,0.00019998000199980003,True,0.024363147,0.014353444,0.0346058,0.68520933,0.8043478260869565,9.999000099990002e-05,0.00031108000311080007,True
Default,DorsAttn,0.06038109,0.025491796,0.09564478,0.0005999400059994001,0.0009332400093324001,True,0.07712738,0.035975818,0.11886598,0.00019998000199980003,0.00037329600373296,True,0.016826227,0.008749757,0.025143657,0.5861396,0.6739130434782609,0.00019998000199980003,0.00046662000466620004,True
Default,Limbic,0.096357524,0.06138093,0.12981892,9.999000099990002e-05,0.00019998000199980003,True,0.10511091,0.0647283,0.14386219,9.999000099990002e-05,0.00019998000199980003,True,0.008843172,0.00088812894,0.016372746,0.32544184,0.6521739130434783,0.015998400159984,0.022397760223977603,True
Default,SalVentAttn,0.071896575,0.042855587,0.10061528,9.999000099990002e-05,0.00019998000199980003,True,0.08853823,0.054124057,0.122066274,9.999000099990002e-05,0.00019998000199980003,True,0.016749827,0.0067975842,0.02633195,0.49295047,0.7608695652173914,0.0011998800119988001,0.0018664800186648002,True
Default,SomMot,-0.018358592,-0.043522876,0.0066405246,0.9209079092090791,0.9209079092090791,False,-0.015611495,-0.047521565,0.015514358,0.8373162683731626,0.8373162683731626,False,0.0027478908,-0.0068090265,0.012126875,0.08407818,0.5652173913043478,0.28347165283471654,0.3052771645912332,False
Default,Vis,0.07280058,0.038605396,0.10646287,9.999000099990002e-05,0.00019998000199980003,True,0.08768242,0.047510885,0.12681507,9.999000099990002e-05,0.00019998000199980003,True,0.014978557,0.006633125,0.023873746,0.49885175,0.6739130434782609,0.0005999400059994001,0.0011198880111988802,True
DorsAttn,DorsAttn,0.113397524,0.06209313,0.1664556,9.999000099990002e-05,0.00019998000199980003,True,0.14751184,0.08500987,0.20942894,9.999000099990002e-05,0.00019998000199980003,True,0.03470862,0.021448111,0.0480761,0.75868565,0.782608695652174,9.999000099990002e-05,0.00031108000311080007,True
DorsAttn,Limbic,0.0530149,0.016880691,0.09033102,0.0030996900309969004,0.004567964256205958,True,0.05864202,0.01619032,0.103129454,0.0044995500449955,0.006299370062993701,True,0.005644722,-0.0027440162,0.01380412,0.19382374,0.5869565217391305,0.09419058094190581,0.11987892119878922,False
DorsAttn,SalVentAttn,0.023077006,-0.0077506904,0.05317513,0.067993200679932,0.09065760090657601,False,0.040848583,0.003869164,0.07670306,0.011698830116988301,0.015598440155984402,True,0.017790226,0.00970628,0.026131563,0.62776905,0.717391304347826,9.999000099990002e-05,0.00031108000311080007,True
DorsAttn,SomMot,0.018346943,-0.01228348,0.04861335,0.11868813118688132,0.15105762151057622,False,0.035643276,-0.0008994635,0.07170045,0.0263973602639736,0.033596640335966405,True,0.017309377,0.008303381,0.026275206,0.55319536,0.6739130434782609,0.00039996000399960006,0.0007999200079992001,True
DorsAttn,Vis,0.09657458,0.05468223,0.13924521,9.999000099990002e-05,0.00019998000199980003,True,0.11921122,0.06727611,0.1694072,9.999000099990002e-05,0.00019998000199980003,True,0.022904284,0.011363932,0.034889642,0.5606897,0.6739130434782609,9.999000099990002e-05,0.00031108000311080007,True
Limbic,Limbic,0.11016655,0.07260334,0.14842904,9.999000099990002e-05,0.00019998000199980003,True,0.1250558,0.081925295,0.16865148,9.999000099990002e-05,0.00019998000199980003,True,0.015098416,0.0067097726,0.023618698,0.50988823,0.6739130434782609,0.00019998000199980003,0.00046662000466620004,True
Limbic,SalVentAttn,0.04603911,0.022310948,0.069832936,9.999000099990002e-05,0.00019998000199980003,True,0.050133653,0.022226186,0.07729093,0.0004999500049995,0.0008234470670580001,True,0.00410404,-0.0037744795,0.011306967,0.15657063,0.5869565217391305,0.14238576142385762,0.16611672166116723,False
Limbic,SomMot,-0.006075263,-0.029709239,0.017479938,0.6918308169183082,0.7450485720658703,False,-0.011373941,-0.03916889,0.016647233,0.7886211378862114,0.831724234983909,False,-0.0052990927,-0.012458485,0.0011791404,-0.22414988,0.4782608695652174,0.935006499350065,0.935006499350065,False
Limbic,Vis,0.06367021,0.0293175,0.09786597,0.00039996000399960006,0.0006587576536464001,True,0.07062591,0.030617574,0.11222117,0.0005999400059994001,0.0009332400093324001,True,0.0069872355,-0.0011621716,0.014777964,0.25002456,0.6086956521739131,0.049295070492950704,0.06572676065726761,False
SalVentAttn,SalVentAttn,0.04585507,0.020873401,0.071657196,0.00039996000399960006,0.0006587576536464001,True,0.06548354,0.03368605,0.09762603,0.00029997000299970003,0.0005249475052494751,True,0.019690134,0.007885886,0.030710304,0.49498987,0.7608695652173914,0.000999900009999,0.0017498250174982502,True
SalVentAttn,SomMot,-0.003075312,-0.023894787,0.017940298,0.615038496150385,0.7016098390160984,False,0.01244778,-0.014559738,0.03863789,0.18188181181881813,0.21219544712195448,False,0.015523745,0.005307178,0.025100308,0.45812255,0.6521739130434783,0.0011998800119988001,0.0018664800186648002,True
SalVentAttn,Vis,0.01270607,-0.014314612,0.040319856,0.17798220177982202,0.2166739847754355,False,0.0151541,-0.016605852,0.04692075,0.16868313168683133,0.2053533777057077,False,0.0024485106,-0.0052578924,0.010050401,0.09174305,0.5652173913043478,0.26517348265173485,0.296994300569943,False
SomMot,SomMot,0.020469591,-0.00306687,0.04336953,0.0408959104089591,0.05725427457254274,False,0.045415014,0.013053763,0.07695938,0.0020997900209979003,0.0030944273993653267,True,0.024973825,0.0120045245,0.036759198,0.58009434,0.7391304347826086,9.999000099990002e-05,0.00031108000311080007,True
SomMot,Vis,-0.009911534,-0.03353277,0.014255696,0.7913208679132087,0.8206290482062905,False,-0.012284362,-0.04140686,0.016955702,0.802019798020198,0.831724234983909,False,-0.0023731226,-0.011007939,0.006044777,-0.07877319,0.5,0.7024297570242976,0.7284456739511234,False
Vis,Vis,0.14324242,0.0975061,0.1890759,9.999000099990002e-05,0.00019998000199980003,True,0.18219781,0.12449546,0.23673022,9.999000099990002e-05,0.00019998000199980003,True,0.040020645,0.025043529,0.055354536,0.76871413,0.8043478260869565,9.999000099990002e-05,0.00031108000311080007,True
