subject,session,run,order_label,segment_num,n_orders_in_run,skip,short_segment,t_r,n_volumes,first_video_onset,first_video_name,scan_start_idx,scan_end_idx,n_frames,bold_path,events_path,json_path
ICC103,1,1,F,1.0,2,False,False,0.61,485.0,4.52553110000008,dog,7.0,241.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC103/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC103_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-1/func/sub-ICC103_ses-1_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-1/func/sub-ICC103_ses-1_task-videos_dir-AP_run-001_bold.json
ICC103,1,1,D,2.0,2,False,False,0.61,485.0,146.6661982000005,moana,240.0,474.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC103/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC103_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-1/func/sub-ICC103_ses-1_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-1/func/sub-ICC103_ses-1_task-videos_dir-AP_run-001_bold.json
ICC103,2,1,F,1.0,2,False,False,0.61,485.0,4.822804999999789,dog,8.0,242.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC103/_referencetype_standard/_run_001_session_2_task_name_videos/sub-ICC103_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-2/func/sub-ICC103_ses-2_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-2/func/sub-ICC103_ses-2_task-videos_dir-AP_run-001_bold.json
ICC103,2,1,B,2.0,2,False,False,0.61,485.0,146.6956740000005,bathsong,240.0,474.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC103/_referencetype_standard/_run_001_session_2_task_name_videos/sub-ICC103_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-2/func/sub-ICC103_ses-2_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-2/func/sub-ICC103_ses-2_task-videos_dir-AP_run-001_bold.json
ICC103,1,2,F,1.0,2,False,False,0.61,485.0,3.0269929000005504,dog,5.0,239.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC103/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC103_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-1/func/sub-ICC103_ses-1_task-videos_dir-AP_run-002_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-1/func/sub-ICC103_ses-1_task-videos_dir-AP_run-002_bold.json
ICC103,1,2,D,2.0,2,False,False,0.61,485.0,143.35969540000042,moana,235.0,469.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC103/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC103_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-1/func/sub-ICC103_ses-1_task-videos_dir-AP_run-002_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-1/func/sub-ICC103_ses-1_task-videos_dir-AP_run-002_bold.json
ICC103,2,2,F,1.0,2,False,False,0.61,485.0,3.111434200000076,dog,5.0,239.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC103/_referencetype_standard/_run_002_session_2_task_name_videos/sub-ICC103_ses-2_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-2/func/sub-ICC103_ses-2_task-videos_dir-AP_run-002_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-2/func/sub-ICC103_ses-2_task-videos_dir-AP_run-002_bold.json
ICC103,2,2,B,2.0,2,False,False,0.61,485.0,144.39543029999913,bathsong,237.0,471.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC103/_referencetype_standard/_run_002_session_2_task_name_videos/sub-ICC103_ses-2_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-2/func/sub-ICC103_ses-2_task-videos_dir-AP_run-002_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103/ses-2/func/sub-ICC103_ses-2_task-videos_dir-AP_run-002_bold.json
ICC103A,1,1,F,1.0,2,False,False,0.61,485.0,8.879151100001764,dog,15.0,249.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC103A/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC103A_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103A/ses-1/func/sub-ICC103A_ses-1_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103A/ses-1/func/sub-ICC103A_ses-1_task-videos_dir-AP_run-001_bold.json
ICC103A,1,1,D,2.0,2,False,False,0.61,485.0,149.83558710000943,moana,246.0,480.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC103A/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC103A_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103A/ses-1/func/sub-ICC103A_ses-1_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103A/ses-1/func/sub-ICC103A_ses-1_task-videos_dir-AP_run-001_bold.json
