subject_id,session_id,run_id,task,median,scale,n_brain_voxels,source_volume_path
ICC105A,1,002,videos,393.95770263671875,151.00739288330078,113091,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC105A/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC105A_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC105A,1,001,rest10,392.3658752441406,170.67138671875,113172,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC105A/_referencetype_standard/_run_001_session_1_task_name_rest10/sub-ICC105A_ses-1_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC103,1,001,videos,283.4107360839844,196.22052154541007,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC103/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC103_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC107,1,002,videos,279.2507629394531,169.42899169921873,107145,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC107/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC107_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC103,2,001,videos,276.7407531738281,170.36049728393556,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC103/_referencetype_standard/_run_001_session_2_task_name_videos/sub-ICC103_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC103,1,002,videos,283.78216552734375,185.61074829101562,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC103/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC103_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC105,1,002,videos,285.8121337890625,148.2417755126953,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC105/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC105_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC107,1,001,videos,280.3121643066406,166.12107849121094,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC107/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC107_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC103A,1,002,videos,348.92425537109375,166.5884117126464,113172,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC103A/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC103A_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC105,1,001,videos,286.3056945800781,161.6599967956543,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC105/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC105_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC103,2,002,videos,274.65936279296875,151.02823715209962,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC103/_referencetype_standard/_run_002_session_2_task_name_videos/sub-ICC103_ses-2_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
